,company_name,company_rating,other_data
76,Nlb Services,4.0,"Recruitment , 1k-5k Employees , 17 years old , Noida +20 more"
77,TO THE NEW,3.8,"IT Services & Consulting , 1k-5k Employees , 16 years old , Noida +16 more"
78,HDFC Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Noida +1560 more"
79,IDEMIA,4.1,"Law Enforcement & Security , 1k-5k Employees , 7 years old , Noida +40 more"
80,Ukb Electronics,4.2,"Electronics Manufacturing , 501-1k Employees , 28 years old , Noida +17 more"
81,Ernst & Young,3.6,"Management Consulting , 50k-1 Lakh Employees , 22 years old , Noida +94 more"
82,Redcliffe Labs,4.5,"Healthcare , 1k-5k Employees , 6 years old , Noida +79 more"
83,Henry Harvin Education,4.5,"EdTech , 201-500 Employees , 9 years old , Noida +13 more"
84,Tata Projects,4.3,"Engineering & Construction , 5k-10k Employees , Public , 45 years old , Noida +237 more"
85,Jubilant Foods Works,3.9,"Hospitality , 10k-50k Employees , Public , 29 years old , Noida +198 more"
86,Transsion,4.2,"Consumer Electronics & Appliances , 501-1k Employees , Public , 18 years old , Noida +57 more"
87,Leverage Edu,4.2,"EdTech , 51-200 Employees , Startup , 7 years old , Noida +11 more"
88,Coforge,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 20 years old , Noida +87 more"
89,Amity University,3.6,"Education & Training , 1k-5k Employees , 19 years old , Noida +77 more"
90,Samsung Research,3.4,"Consumer Electronics & Appliances , 1k-5k Employees , 55 years old , Noida +11 more"
91,Nokia Networks,4.3,"Hardware & Networking , 501-1k Employees , Noida +82 more"
92,Amazon Development Centre India,4.2,"Internet , 10k-50k Employees , Noida +84 more"
93,Genpact Headstrong Capital Markets,3.8,"IT Services & Consulting , 1k-5k Employees , 26 years old , Noida +18 more"
94,Tech Mahindra Business Services,3.5,"BPO , 5k-10k Employees , Public , 21 years old , Noida +49 more"
95,Polestar Solutions & Services India,4.4,"IT Services & Consulting , 201-500 Employees , Startup , 12 years old , Noida +7 more"
96,iQor Global Services,3.5,"BPO , 1k-5k Employees , 26 years old , Noida +48 more"
97,Mercer,3.8,"Management Consulting , 1k-5k Employees , 79 years old , Noida +17 more"
98,ICCS,3.3,"BPO , 501-1k Employees , 19 years old , Noida +25 more"
99,Velocis Systems,3.9,"IT Services & Consulting , 1k-5k Employees , 29 years old , Noida +46 more"
100,NetAmbit,3.4,"BPO , 10k-50k Employees , 24 years old , Noida +86 more"
101,Haldiram Foods,4.0,"FMCG , 1k-5k Employees , 54 years old , Noida +121 more"
102,Pyramid IT Consulting,3.1,"Recruitment , 1k-5k Employees , 28 years old , Noida +20 more"
103,Nokia,4.2,"Telecom , 10k-50k Employees , Forbes Global 2000 , 159 years old , Noida +149 more"
104,LTIMindtree,3.6,"IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Noida +52 more"
105,Fluper,4.1,"IT Services & Consulting , 201-500 Employees , Public , 11 years old , Noida +2 more"
106,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Noida +354 more"
107,Times Internet,3.6,"Internet , 10k-50k Employees , Public , 25 years old , Noida +23 more"
108,Acadecraft,3.1,"EdTech , 201-500 Employees , 13 years old , Noida +12 more"
109,Addverb Technologies,4.0,"Industrial Automation , 501-1k Employees , Startup , 8 years old , Noida +15 more"
110,Denave,3.7,"Marketing & Advertising , 501-1k Employees , 25 years old , Noida +56 more"
111,M.J Global,4.3,"Packaging , 201-500 Employees , Public , 44 years old , Noida +9 more"
112,Optum Global Solutions,4.2,"IT Services & Consulting , 10k-50k Employees , 22 years old , Noida +14 more"
113,upGrad,3.8,"EdTech , 5k-10k Employees , Indian Unicorn , 9 years old , Noida +38 more"
114,Physicswallah,3.8,"EdTech , 10k-50k Employees , Indian Unicorn , 5 years old , Noida +73 more"
115,Allsec Technologies,4.0,"BPO , 1k-5k Employees , Public , 24 years old , Noida +26 more"
116,Virtual Employee,3.3,"Recruitment , 1k-5k Employees , 17 years old , Noida +13 more"
117,C&S Electric,4.0,"Electrical Equipment , 5k-10k Employees , 58 years old , Noida +48 more"
