,company_name,company_rating,other_data
8584,Kash Infrastructure,5.0,Ahmedabad
8585,Vikram Solar,3.9,"Power , 1k-5k Employees , 18 years old , Ahmedabad +28 more"
8586,Project Engineering Services,3.8,"Engineering & Construction , 15 years old , Ahmedabad +5 more"
8587,M j Solanki,4.5,"201-500 Employees (Global) , Ahmedabad +8 more"
8588,Hansa Research Group,4.2,"Analytics & KPO , 201-500 Employees , 41 years old , Ahmedabad +18 more"
8589,Indkal Technologies,2.2,Ahmedabad +3 more
8590,Globe Star Engineers,5.0,"51-200 Employees , Ahmedabad"
8591,Privi Life Sciences,3.6,"Agriculture , 51-200 Employees , 15 years old , Ahmedabad +12 more"
8592,NeetDeep Group,3.8,Ahmedabad
8593,Nanliu Manufacturing India Private Limited,3.3,"Fashion & Textile , 201-500 Employees , 46 years old , Ahmedabad +1 more"
8594,Choice Equity Broking,3.9,"Financial Services , 51-200 Employees , 14 years old , Ahmedabad +23 more"
8595,Innsight.com,4.0,Ahmedabad +1 more
8596,Catch Foods,4.2,"Food Processing , Ahmedabad +51 more"
8597,Baker Tilly DHC,2.4,"Accounting & Auditing , 501-1k Employees , 28 years old , Ahmedabad +9 more"
8598,Trackon Courier,3.6,"Logistics , 51-200 Employees , 22 years old , Ahmedabad +50 more"
8599,PolicyBazaar,3.5,"Internet , 10k-50k Employees , Public , 16 years old , Ahmedabad +92 more"
8600,Amazon Development Centre India,4.2,"Internet , 10k-50k Employees , Ahmedabad +84 more"
8601,Associated Constructions,4.0,"201-500 Employees (Global) , 29 years old , Ahmedabad +11 more"
8602,K.C. Enterprise,3.5,Ahmedabad +4 more
8603,JASCO PUMP,2.6,Ahmedabad
8604,Hella,4.1,"Auto Components , 1k-5k Employees , 125 years old , Ahmedabad +21 more"
8605,Spg Infracon,3.6,Ahmedabad +3 more
8606,Brilloca,4.1,"Furniture & Furnishing , 501-1k Employees , Ahmedabad +20 more"
8607,Teracon Projects,2.2,Ahmedabad
8608,Lyka Labs,3.0,"Pharma , 201-500 Employees , Public , 48 years old , Ahmedabad +11 more"
8609,Vikram Solar,3.9,"Power , 1k-5k Employees , 18 years old , Ahmedabad +28 more"
8610,Trackon Courier,3.6,"Logistics , 51-200 Employees , 22 years old , Ahmedabad +50 more"
8611,Indkal Technologies,2.2,Ahmedabad +3 more
8612,Vanesa Care,4.2,"Beauty & Personal Care , 501-1k Employees , 41 years old , Ahmedabad +36 more"
8613,Varmora Furnitures,3.8,"11 years old , Ahmedabad +1 more"
8614,Baker Tilly DHC,2.4,"Accounting & Auditing , 501-1k Employees , 28 years old , Ahmedabad +9 more"
8615,Innsight.com,4.0,Ahmedabad +1 more
8616,Delta Electronics,4.0,"Electronics Manufacturing , 501-1k Employees , Forbes Global 2000 , 32 years old , Ahmedabad +37 more"
8617,Nanliu Manufacturing India Private Limited,3.3,"Fashion & Textile , 201-500 Employees , 46 years old , Ahmedabad +1 more"
8618,Wow Momo Foods,3.7,"FMCG , 501-1k Employees , 16 years old , Ahmedabad +34 more"
8619,Catch Foods,4.2,"Food Processing , Ahmedabad +51 more"
8620,Honeywell International India,4.0,"Defence & Aerospace , 10k-50k Employees , Forbes Global 2000 , 118 years old , Ahmedabad +20 more"
8621,Zee Entertainment Enterprises,3.6,"Media & Entertainment , 1k-5k Employees , Public , 32 years old , Ahmedabad +28 more"
8622,Anblicks,2.8,"IT Services & Consulting , 201-500 Employees , 20 years old , Ahmedabad +3 more"
8623,Findoc Investmart,3.1,"51-200 Employees , Ahmedabad +6 more"
8624,Cyient,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Ahmedabad +33 more"
8625,Cadence Design Systems,4.2,"IT Services & Consulting , 1k-5k Employees , Public , 36 years old , Ahmedabad +14 more"
8626,Capgemini Engineering,3.6,"10k-50k Employees , Ahmedabad +21 more"
8627,Gufic Biosciences,3.2,"Pharma , 501-1k Employees , Public , 54 years old , Ahmedabad +29 more"
8628,Varroc Group,3.8,"Auto Components , 1k-5k Employees , Public , 36 years old , Ahmedabad +34 more"
8629,Elite Elevators,3.6,"Industrial Machinery , 51-200 Employees , 16 years old , Ahmedabad +25 more"
8630,HERE Technologies,3.8,"IT Services & Consulting , 1k-5k Employees , 39 years old , Ahmedabad +14 more"
8631,World Web Technology,4.8,"IT Services & Consulting , 11-50 Employees , 13 years old , Ahmedabad +1 more"
8632,Sartorius Stedim India,3.9,"Biotechnology , 501-1k Employees , 33 years old , Ahmedabad +7 more"
8633,Indegene,3.6,"Analytics & KPO , 1k-5k Employees , 26 years old , Ahmedabad +22 more"
8634,People Connect Solutions,5.0,Ahmedabad
8635,Haleon,3.4,Ahmedabad +12 more
8636,Reliance Life Sciences,3.5,"Clinical Research , 1k-5k Employees , 23 years old , Ahmedabad +29 more"
8637,FabHotels,3.1,"Hospitality , 501-1k Employees , Startup , 10 years old , Ahmedabad +28 more"
8638,ICON Plc,4.2,"Clinical Research , 1k-5k Employees , Public , 34 years old , Ahmedabad +15 more"
8639,Renault,4.3,"Automobile , 10k-50k Employees , Forbes Global 2000 , 126 years old , Ahmedabad +134 more"
8640,Renault,4.3,"Automobile , 10k-50k Employees , Forbes Global 2000 , 126 years old , Ahmedabad +134 more"
8641,Transasia Bio-Medicals,3.4,"Biotechnology , 1k-5k Employees , 45 years old , Ahmedabad +44 more"
8642,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Ahmedabad +104 more"
8643,Rajshree Polypack,3.6,"51-200 Employees , 21 years old , Ahmedabad +7 more"
8644,NTT DATA,4.0,"IT Services & Consulting , 10k-50k Employees , 36 years old , Ahmedabad +60 more"
8645,SAP,4.3,"Software Product , 10k-50k Employees , Forbes Global 2000 , 52 years old , Ahmedabad +45 more"
8646,Oracle,3.8,"Software Product , 50k-1 Lakh Employees , Public , 47 years old , Ahmedabad +47 more"
8647,Protiviti India Member,3.4,"Management Consulting , 501-1k Employees , 76 years old , Ahmedabad +22 more"
8648,Aditya Infotech,4.2,"IT Services & Consulting , 501-1k Employees , 30 years old , Ahmedabad +36 more"
