,company_name,company_rating,other_data
6738,Quality Control Inspector,4.1,Jaipur +5 more
6739,R.P Handicrafts,5.0,Jaipur
6740,The Smart Techies,5.0,"13 years old , Jaipur"
6741,Yor Salon,5.0,Jaipur
6742,Worked In G.s.i,5.0,Jaipur
6743,Happy Modern Public School,4.0,"Education & Training , Jaipur"
6744,Tagore Sr. Sec. School,4.8,"Education & Training , New Delhi +3 more"
6745,Eye 2 Eye Opticians,4.3,Jaipur +1 more
6746,Kotecha Group,2.5,Jaipur +1 more
6747,HM ESEVA,1.0,Jaipur +1 more
6748,Lubi Solar,5.0,"Electrical Equipment , 201-500 Employees , 14 years old , Ahmedabad +1 more"
6749,Penta Solarex,1.0,"24 years old , Jaipur"
6750,Jain Sawaimal & Co,5.0,Jaipur
6751,"Hema Hardware And Locks, Jaipur",3.0,Jaipur
6752,National Bearing Company Ltd Jaipur Rajasthan,5.0,Jaipur
6753,Gangaa Kotecha Group,5.0,Jaipur
6754,Hotel Mansingh Tower Jaipur,5.0,Jaipur
6755,Panchvaktra Sports Acadmy,5.0,Jaipur
6756,Jagadguru Ramanandacharya Rajasthan Sanskrit University,3.0,"Education & Training , Jaipur"
6757,Lex Assisto,4.0,Jaipur
6758,Interact HR Consultants,4.5,"Recruitment , New Delhi +2 more"
6759,Intermesh Shopping Network,4.4,Mumbai +2 more
6760,IT N IT Career Solution,3.4,Jaipur +6 more
6761,Lend-A-Hand,4.2,"51-200 Employees , Jaipur +7 more"
6762,Life Care Diagnostics,4.3,Jaipur +11 more
6763,Imliwala And Mahindra Spear Parts,5.0,Jaipur
6764,Mama Rasoi,5.0,Jaipur
6765,Shree Sati Travels,4.6,Jaipur +1 more
6766,Komal Buildcon,5.0,"51-200 Employees , 18 years old , Jaipur +1 more"
6767,Race Skill India,4.0,Jaipur
6768,Rashmi Hospitality Services,5.0,Jaipur +1 more
6769,Spv Renewable Energy,5.0,"Power , 10 years old , Jaipur"
6770,Daksh Associates,5.0,"11 years old , Jaipur +1 more"
6771,Unicolumn,5.0,"11-50 Employees (Global) , Jaipur"
6772,Khanak Trade Links,3.0,"12 years old , Jaipur"
6773,Rashmi Hospitlity Services,1.0,Jaipur
6774,M G Techno Savvy,3.0,"Education & Training , 1-10 Employees (Global) , 18 years old , Jaipur"
6775,Justanned,5.0,Jaipur
6776,Om Irritech,4.6,"11-50 Employees , 12 years old , Jaipur +2 more"
6777,UTKARSH INFRASTRUCTURE,4.9,"Real Estate , Jaipur +1 more"
6778,Shimmer Gems,3.0,"15 years old , Jaipur"
6779,Ultimo Software Solutions,2.0,"51-200 Employees (Global) , Jaipur +1 more"
6780,Outsuka Venus,5.0,Jaipur +1 more
6781,Ladnun Saree Kendra,5.0,Jaipur
6782,Hotel Waves,5.0,"51-200 Employees , Jaipur"
6783,KPG Real Estates,,Jaipur
6784,Komal Construction Company,5.0,"Engineering & Construction , Jaipur +1 more"
6785,Osho Garment,2.6,Jaipur +1 more
6786,Park Regis Goa,3.5,Jaipur +5 more
6787,M V Jain & Associates,1.0,Jaipur
6788,Agarwal Auto Sales,4.3,"51-200 Employees , Jaipur +4 more"
6789,E-Batua,5.0,Jaipur +1 more
6790,jai Shree Design,5.0,Jaipur
6791,Ambuja Public School,2.2,"Education & Training , Jaipur +1 more"
6792,Outreach,5.0,"Internet , 51-200 Employees (Global) , 28 years old , Jaipur +4 more"
6793,INNOVATION INDUSTRIES,5.0,"Telecom , 51-200 Employees (Global) , 44 years old , Jaipur +1 more"
6794,Strategic Sourcing Solutions,4.6,Jaipur +2 more
6795,Indian Educational Services,3.5,"Engineering & Construction , 51-200 Employees , Jaipur +2 more"
6796,Kalra Health Care,5.0,"17 years old , Jaipur +2 more"
6797,Reliance Logistics,4.1,"Logistics , 5k-10k Employees , Jaipur +27 more"
6798,Radiant Technical Work,4.1,"IT Services & Consulting , 201-500 Employees , 29 years old , Jaipur +4 more"
6799,ALCOI India,4.0,Jaipur +5 more
6800,"R. R. Associate, Jaipur, Rajasthan",5.0,Jaipur
6801,Assure Bird Control,4.0,Jaipur
6802,Automobile Carriers,4.5,"Logistics , 11-50 Employees , Jaipur +10 more"
6803,Swastik Electricals,5.0,"11-50 Employees , Jaipur +4 more"
6804,Sv Global Logistics,3.6,"8 years old , Jaipur +3 more"
6805,Ecom,4.2,"11-50 Employees , Jaipur +6 more"
6806,Servester,5.0,Jaipur
6807,Artel,5.0,"51-200 Employees (Global) , 38 years old , Jaipur"
6808,Elsamex Maintenance Services,4.1,"Facility Management Services , 201-500 Employees , 25 years old , Jaipur +36 more"
6809,Kärcher Cleaning Systems,4.0,"201-500 Employees , 89 years old , Jaipur +20 more"
6810,Rajasthan Knowledge Corporation,4.1,Jaipur
6811,Iris Jewls,4.0,Jaipur
6812,Gait Computer Center,4.0,Jaipur
6813,Paliwal Jewelers,4.0,Jaipur
6814,Elmex Controls,3.7,"Semiconductors , 51-200 Employees , 61 years old , Jaipur +1 more"
